¤u¼t¦WºÙ,¤u¼tµn°O½s¸¹,¤u¼t³]¥ß³\¥i®×¸¹,¤u¼t¦a§},¤u¼t¥«Âí¶m§ø¨½,¤u¼t­t³d¤H©m¦W,²Î¤@½s¸¹,¤u¼t²ÕÂ´«¬ºA,¤u¼t³]¥ß®Ö­ã¤é´Á,¤u¼tµn°O®Ö­ã¤é´Á,¤u¼tµn°Oª¬ºA,²£·~Ãþ§O,¥D­n²£«~
ªä°Ê¯à³]³ÆªÑ¥÷¦³­­¤½¥q,18000383,,·s¦Ë¥«ªF°Ï®H³»¨½¤½¹D¤­¸ô¤G¬q158¸¹,·s¦Ë¥«ªF°Ï®H³»¨½,¶À¬fÞ³,85062977,ªÑ¥÷¦³­­¤½¥q,,1091210,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,275¶q´ú¡B¾É¯è¡B±±¨î³]³Æ¤ÎÄÁ¿ö¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ
¤W¸à¥úÅÖ³q«HªÑ¥÷¦³­­¤½¥q­]®ß¼t,5000541,,­]®ß¿¤»ÉÆr¶m¤¤¥­§ø¤¤¥­1¤§1¸¹,­]®ß¿¤»ÉÆr¶m¤¤¥­§ø,ªLªQºÖ,84149462,ªÑ¥÷¦³­­¤½¥q,,1081127,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,272³q°T¶Ç¼½³]³Æ
«i©ú¥ø·~ªÀ,66009372,,»O¤¤¥«¯«©£°Ï¦`°ô¨½ºÖ¦¨¸ô91¤§1¸¹1¼Ó,»O¤¤¥«¯«©£°Ï¦`°ô¨½,ªL©ú·s,67968970,¿W¸ê,,1100809,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ
¨}½÷¶ì½¦¤u·~ªÑ¥÷¦³­­¤½¥q,99673060,6.71E+12,»O«n¥««n°Ï¹ü«n¨½·s«H¸ô3¸¹,»O«n¥««n°Ï¹ü«n¨½,¼Ú¬F½÷,68270521,ªÑ¥÷¦³­­¤½¥q,670318,710203,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
ª÷®p¤s¤­ª÷¦³­­¤½¥q,7004398,,¹ü¤Æ¿¤¥_¤æÂí¤¤©M¨½¤æ¤¤¸ô242-1¸¹1¼Ó,¹ü¤Æ¿¤¥_¤æÂí¤¤©M¨½,¾G³Ð¤Í,28914478,¦³­­¤½¥q,,1100729,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
ÀBÄË¥ø·~¦³­­¤½¥q,99628227,,®ç¶é¥«·¨±ö°Ï­ûªL¨½ÀôªF¸ô295«Ñ12¸¹,®ç¶é¥«·¨±ö°Ï­ûªL¨½,¦¶¼yÅý,89491155,¦³­­¤½¥q,,911202,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~,293³q¥Î¾÷±ñ³]³Æ¡B269¨ä¥L¹q¤l¹s²Õ¥ó
¼z¬K¹ê·~ªÑ¥÷¦³­­¤½¥q¤j¶®¼t,99644450,8.41001E+12,»O¤¤¥«¤j¶®°Ï¤W·¬¨½¥Á¥Í¸ô¤T¬q¤@¤K¢¯«Ñ¤G¤K¸¹,»O¤¤¥«¤j¶®°Ï¤W·¬¨½,¾G±Ò°¥,55931725,ªÑ¥÷¦³­­¤½¥q,841222,850108,¥Í²£¤¤,18¤Æ¾Ç§÷®Æ¤ÎªÎ®Æ»s³y·~,183ªÎ®Æ¤Î´á¤Æ¦Xª«
«ØÎ]ªÑ¥÷¦³­­¤½¥q,7001841,,¹ü¤Æ¿¤½u¦è¶m·¾¤º§ø¹üÀØ¦è¤@¸ô10¸¹,¹ü¤Æ¿¤½u¦è¶m·¾¤º§ø,©P?¼Ì,53348677,ªÑ¥÷¦³­­¤½¥q,,1050707,¥Í²£¤¤,18¤Æ¾Ç§÷®Æ¤ÎªÎ®Æ»s³y·~,181¤Æ¾Ç­ì§÷®Æ
®i¦w­¹«~¦³­­¤½¥q¤G¼t,65009634,,·s¥_¥«¤g«°°Ï­û¤¯¨½¤¤¥¡¸ô2¬q390«Ñ43¸¹(1¼Ó),·s¥_¥«¤g«°°Ï­û¤¯¨½,¾G?·½,28082214,¦³­­¤½¥q,,1100729,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ
Âb¬ÓªÑ¥÷¦³­­¤½¥q,68004368,,®ç¶é¥«Äª¦Ë°Ï¤º­í¨½¦w¤¤µó28«Ñ12¸¹(2¡B3¼Ó),®ç¶é¥«Äª¦Ë°Ï¤º­í¨½,§õÄR¶³,83258928,ªÑ¥÷¦³­­¤½¥q,,1100810,¥Í²£¤¤,08­¹«~»s³y·~,083½­ªG¥[¤u
¤d»õ¿³ª÷ÄÝªÑ¥÷¦³­­¤½¥q,99643963,8.11001E+12,»O¤¤¥«Às¤«°Ï©¾©M¨½»O¦è«n¸ô¤G¤­¤»«Ñ¤T¤G§Ë¤E¸¹,»O¤¤¥«Às¤«°Ï©¾©M¨½,ªLÂE´¼,86964741,ªÑ¥÷¦³­­¤½¥q,810829,830204,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,293³q¥Î¾÷±ñ³]³Æ¡B251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B259¨ä¥Lª÷ÄÝ»s«~
·çÎë¶T©öªÑ¥÷¦³­­¤½¥q°ò¶©¼t,99667104,7.31E+12,°ò¶©¥«¦w¼Ö°Ï¤º¼d¨½ªZ°Vµó¢µ¢´¸¹,°ò¶©¥«¦w¼Ö°Ï¤º¼d¨½,¼B§»»Ê,4310533,ªÑ¥÷¦³­­¤½¥q,730526,730618,¥Í²£¤¤,09¶¼®Æ»s³y·~,092«D°sºë¶¼®Æ
ªQ©M°ê»Ú¹ê·~¦³­­¤½¥q,65010318,,·s¥_¥«¤¤©M°Ï¤¤­ì¨½¤¤ªO¸ô15«Ñ9¸¹4¼Ó,·s¥_¥«¤¤©M°Ï¤¤­ì¨½,©÷ºÝ¹A,23674718,¦³­­¤½¥q,,1110419,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
?³Í¤u·~ªÑ¥÷¦³­­¤½¥q¤G¼t,7003444,1.081E+13,¹ü¤Æ¿¤ªÚ­b¶m«á¼d§ø¤u·~¸ô26¸¹,¹ü¤Æ¿¤ªÚ­b¶m«á¼d§ø,¤ýÄR¬ü,23426703,ªÑ¥÷¦³­­¤½¥q,1081030,1081115,¥Í²£¤¤,24°ò¥»ª÷ÄÝ»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,243»É¡B254ª÷ÄÝ¥[¤u³B²z
³Ó¦{¦³­­¤½¥q,99639688,8.91001E+12,»O¤¤¥«¤Ó¥­°Ï¼w¶©¨½¥ú¼w¸ô¤G¢¯¤C¸¹,»O¤¤¥«¤Ó¥­°Ï¼w¶©¨½,³¯«W¦p,70514880,¦³­­¤½¥q,890628,890713,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
ÒJ¬v¿û¾T¦³­­¤½¥q¤u¼t,66009428,,»O¤¤¥«¯Q¤é°ÏÁ³¼æ¨½·Ë«n¸ô¤G¬q151«Ñ9¸¹1¼Ó,»O¤¤¥«¯Q¤é°ÏÁ³¼æ¨½,³¯´ðªz,80236534,¦³­­¤½¥q,,1100827,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
¨}©²Å±³y¦³­­¤½¥q,S6500512,,·s¥_¥«·s²ø°Ï¦è²±¨½Àôº~¸ô3¬q526¸¹,·s¥_¥«·s²ø°Ï¦è²±¨½,¶À«T¿A,36320288,¦³­­¤½¥q,,1100308,¥Í²£¤¤,24°ò¥»ª÷ÄÝ»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,241¿ûÅK¡B242¾T¡B243»É¡B252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
»E¶©ÒÀ¥]¸ËªÑ¥÷¦³­­¤½¥q,68004950,,®ç¶é¥«¥­Âí°Ï«Ø¦w¨½¥­ªF¸ô659«Ñ2¸¹,®ç¶é¥«¥­Âí°Ï«Ø¦w¨½,§õ½Î²Ð,90154716,ªÑ¥÷¦³­­¤½¥q,,1110705,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
±¶¬ü¥ø·~¦³­­¤½¥q¤G¼t,99691786,,·s¥_¥«¤T®l°Ï·ËªF¨½·ËªF¸ô¤T¤@¤­«Ñ¤T§Ë¤@¤E¸¹¤@¼Ó,·s¥_¥«¤T®l°Ï·ËªF¨½,¬öµØªQ,34245861,¦³­­¤½¥q,,921203,¥Í²£¤¤,16¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s·~,160¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s
¶Ì®v³Å­¹«~¦³­­¤½¥q,3002363,,®ç¶é¥«·¨±ö°Ï«C¤s¨½·à¤G¸ô3¸¹1¼Ó,®ç¶é¥«·¨±ö°Ï«C¤s¨½,¦¿³Í°a,54791058,¦³­­¤½¥q,,1030806,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
´Â¦t¯è¤Ó¬ì§ÞªÑ¥÷¦³­­¤½¥q,64006416,,°ª¶¯¥«©£¤s°Ï¥x¤W¨½¹Å·sªF¸ô100¸¹,°ª¶¯¥«©£¤s°Ï¥x¤W¨½,®]±o¤H,53576215,ªÑ¥÷¦³­­¤½¥q,,1001118,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B254ª÷ÄÝ¥[¤u³B²z¡B319¥¼¤ÀÃþ¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó
ªQ¤Ñ¥ø·~¦³­­¤½¥q,99675314,7.51002E+12,»O«n¥««n°Ï©²«n¨½¥Ã¦¨¸ô¤T¬q506¸¹,»O«n¥««n°Ï©²«n¨½,ªL¸­¤l,69422363,¦³­­¤½¥q,750904,750915,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ
­Z´¶´Ë¬ì§Þ¦³­­¤½¥q,66009033,,»O¤¤¥«¦Z¨½°Ï¤½À]¨½¦w¬Ü¸ô82¤§172¸¹,»O¤¤¥«¦Z¨½°Ï¤½À]¨½,³¯ÄR¬ü,83096543,¦³­­¤½¥q,,1100422,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,254ª÷ÄÝ¥[¤u³B²z¡B259¨ä¥Lª÷ÄÝ»s«~¡B291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ
³Õ­Z¬ì§Þ¦³­­¤½¥q,65009488,,·s¥_¥«ªO¾ô°Ï¶m¶³¨½¥|¤t¸ô2¬q16«Ñ10¸¹8¼Ó,·s¥_¥«ªO¾ô°Ï¶m¶³¨½,§õªYªÚ,54714320,¦³­­¤½¥q,,1100601,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
¨ÊÄQ¦³­­¤½¥q,4000227,,·s¦Ë¿¤·sÂ×¶m¤W§|§ø7¾F§|¤l¤f470-11¸¹,·s¦Ë¿¤·sÂ×¶m¤W§|§ø,Ã¹µ¤¦t,28893522,¦³­­¤½¥q,,1020403,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
µØ°O¬ì§Þ¦³­­¤½¥q,99707569,,®ç¶é¥«¤K¼w°Ï¤jµo¨½©M¥­¸ô772«Ñ24¸¹1¼Ó,®ç¶é¥«¤K¼w°Ï¤jµo¨½,°ªºÍ§Ó,16962179,¦³­­¤½¥q,,970417,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,275¶q´ú¡B¾É¯è¡B±±¨î³]³Æ¤ÎÄÁ¿ö¡B291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ¡B293³q¥Î¾÷±ñ³]³Æ
ªY¥KÀM¥ø·~¦³­­¤½¥q,65009562,,·s¥_¥«¤­ªÑ°Ï¿³¬Ã¨½¤­Åv¤­¸ô2¸¹(4¼Ó¡B5¼Ó),·s¥_¥«¤­ªÑ°Ï¿³¬Ã¨½,§õ¬Û¦p,54878060,¦³­­¤½¥q,,1100716,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~,220¶ì½¦»s«~¡B251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B269¨ä¥L¹q¤l¹s²Õ¥ó
¦çªºÃÀ³N¦³­­¤½¥q¤jµo¼t,67003100,,»O«n¥«¤¯¼w°Ï¤g®w¨½¤jµo¸ô28¸¹,»O«n¥«¤¯¼w°Ï¤g®w¨½,ÃQ¿pâü,24335441,¦³­­¤½¥q,,1100813,¥Í²£¤¤,12¦¨¦ç¤ÎªA¹¢«~»s³y·~,121¦¨¦ç¡B123ªA¹¢«~
ª÷¾_Â×¦³­­¤½¥q,99680303,,¹ü¤Æ¿¤¤GªLÂíµØ±[¨½¤G·Ë¸ô7¬q627«Ñ110¡B112¸¹,¹ü¤Æ¿¤¤GªLÂíµØ±[¨½,³¯ÄR¶³,24279927,¦³­­¤½¥q,,960209,¥Í²£¤¤,33¨ä¥L»s³y·~,332ÂåÀø¾¹§÷¤Î¥Î«~
§eëù¤u·~¦³­­¤½¥q¾ðªL¼t,99695689,,·s¥_¥«¾ðªL°Ïª÷¼d¨½ªZªLµó¤@¤»¤§¤T¸¹¤@¼Ó¡B¤G¼Ó,·s¥_¥«¾ðªL°Ïª÷¼d¨½,§f¬F©÷,16992842,¦³­­¤½¥q,,950713,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
ªL¸Î¤u¼tªÑ¥÷¦³­­¤½¥q,64008894,,°ª¶¯¥«ªü½¬°Ï´_¦w¨½´_¦w12-2¡B12-3¡B12-6¸¹,°ª¶¯¥«ªü½¬°Ï´_¦w¨½,ªL¥Ã¸Î,22969432,ªÑ¥÷¦³­­¤½¥q,,1091225,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
ªø¦ù²£·~¦Û°Ê¤Æ¾÷±ñ¦³­­¤½¥q,6000194,,»O¤¤¥«¤Ó¥­°Ï¤¤¿³¨½¥Ã¥­¸ô¤G¬q513¸¹,»O¤¤¥«¤Ó¥­°Ï¤¤¿³¨½,±i¦s¹D,16736359,¦³­­¤½¥q,,991221,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
øÊ¸RÁë³yªÑ¥÷¦³­­¤½¥q,9000927,,¶³ªL¿¤¤æ¤»¥«ºh¥_¨½¬ì¯Z¸ô2¸¹,¶³ªL¿¤¤æ¤»¥«ºh¥_¨½,¤ý­s¤ª,22272997,ªÑ¥÷¦³­­¤½¥q,,1081021,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,254ª÷ÄÝ¥[¤u³B²z¡B293³q¥Î¾÷±ñ³]³Æ¡B303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó
¶¶ÂoÀô«O¦³­­¤½¥q,64009035,,°ª¶¯¥«¤j¼d°Ï·s­í¨½»ñªL¤G¸ô293-10¸¹,°ª¶¯¥«¤j¼d°Ï·s­í¨½,À¹¤h´Ü,24982609,¦³­­¤½¥q,,1100528,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
·sµá´µ¦³­­¤½¥q,64009036,,°ª¶¯¥«©£¤s°ÏÆW¸Ì¨½©£¤s¥_¸ô22-12¸¹,°ª¶¯¥«©£¤s°ÏÆW¸Ì¨½,ªL¼y³¹,59309665,¦³­­¤½¥q,,1100526,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
©ú¿[»s¼ÒªÀ,99638289,7.81001E+12,»O¤¤¥«¤j¦w°Ï®üáY¨½«n¥_¤E¸ô73¸¹,»O¤¤¥«¤j¦w°Ï®üáY¨½,®}º¡¼b,76620493,¿W¸ê,781219,790123,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã
¥Ý¦Ê¹ê·~ªÑ¥÷¦³­­¤½¥q,3002678,,®ç¶é¥«Äª¦Ë°Ï«n®r¨½«n®r¸ô¤G¬q9¸¹6¼Ó¤§9,®ç¶é¥«Äª¦Ë°Ï«n®r¨½,¾G®¥¶¯,80558350,ªÑ¥÷¦³­­¤½¥q,,1040209,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
¾W©M¾÷±ñ¤u·~ªÑ¥÷¦³­­¤½¥q¤j¨½¼t,99644256,7.11001E+12,»O¤¤¥«¤j¨½°Ï¾ð¤ý¨½¤å¤ß«n¸ô¤@¤@¤E¤@«Ñ¤@¤G¸¹,»O¤¤¥«¤j¨½°Ï¾ð¤ý¨½,¶À¥ú¥¿,52563634,ªÑ¥÷¦³­­¤½¥q,710409,710301,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
Ã÷Üg»É¾¹ªÑ¥÷¦³­­¤½¥q¤@¼t,99646091,8.81E+12,¹ü¤Æ¿¤¦ù´ä¶m·Ë©³§ø¿³¤u¸ô¢µ¢°¤§¢°¸¹,¹ü¤Æ¿¤¦ù´ä¶m·Ë©³§ø,¶À¬fºÍ,59339605,ªÑ¥÷¦³­­¤½¥q,861119,861222,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
µ×µØ¿³·~¦³­­¤½¥q,99668731,7.51002E+12,·s¦Ë¥«­»¤s°Ïªê¤s¨½µØ¦¿µó¤Q¸¹,·s¦Ë¥«­»¤s°Ïªê¤s¨½,§d°·¥­,80097532,¦³­­¤½¥q,751004,751015,¥Í²£¤¤,16¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s·~¡B23«Dª÷ÄÝÄqª«»s«~»s³y·~,160¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s¡B231¬Á¼þ¤Î¨ä»s«~
ºÖ¼w¯È·~¦³­­¤½¥q,7003614,,¹ü¤Æ¿¤­ûªL¥«·¾¨m¨½¬h¾ô¸ô¤G¬q115¸¹1¼Ó,¹ü¤Æ¿¤­ûªL¥«·¾¨m¨½,¼ÔÁ¾¼w,54957395,¦³­­¤½¥q,,1090408,¥Í²£¤¤,15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~,152¥Ë·«¯ÈªO¤Î¯È®e¾¹
ºa¹©°ê»Ú¦³­­¤½¥q,64007584,,°ª¶¯¥«¤j¼d°Ï¼é¼d¨½¥Ð³æ¥|µó11¸¹,°ª¶¯¥«¤j¼d°Ï¼é¼d¨½,½²«~¹a,24682151,¦³­­¤½¥q,,1050622,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,220¶ì½¦»s«~¡B252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
»FÁp¦³­­¤½¥q¤@¼t,99660747,8.71001E+12,»O«n¥«¥Ã±d°Ï¤jÆW¨½¤jÆW¸ô218«Ñ26¸¹³ü¼Ó,»O«n¥«¥Ã±d°Ï¤jÆW¨½,¨L©ú¥Í¡@¡@¡@,89667180,¦³­­¤½¥q,871130,871204,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
¥xª÷©÷¿ûÅKªÑ¥÷¦³­­¤½¥q,99633407,8.41001E+12,»O¤¤¥«¤Ó¥­°Ï¼w¶©¨½¤u·~¤Q¤»¸ô¤T¸¹,»O¤¤¥«¤Ó¥­°Ï¼w¶©¨½,³¢«Ø°ê,89584288,ªÑ¥÷¦³­­¤½¥q,840927,860515,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
«Â§Q¼Æ¦ì¦L¨ê¦³­­¤½¥q,99713461,,»O¤¤¥«¤j¨½°Ï°·¥Á¨½¤¯¤Æ¸ô148¸¹,»O¤¤¥«¤j¨½°Ï°·¥Á¨½,§d²QµØ,12844687,¦³­­¤½¥q,,981119,¥Í²£¤¤,16¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s·~,160¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s
¤[ºÖÀô«O¦³­­¤½¥q,10000392,,¹Å¸q¿¤¤jªLÂí¹L·Ë¨½10¾Fªo¨®©±4¸¹,¹Å¸q¿¤¤jªLÂí¹L·Ë¨½,³¯«Û§Ê,70672058,¦³­­¤½¥q,,1081008,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
¬R«³¬ì§ÞªÑ¥÷¦³­­¤½¥q,99684943,,»O«n¥«Ãö¼q°Ï°ñÀY¨½«OªF¸ô218¸¹B´É,»O«n¥«Ãö¼q°Ï°ñÀY¨½,¤è«a´¼,70489405,ªÑ¥÷¦³­­¤½¥q,,950106,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,311²î²í¤Î¯B°Ê³]¬I¡B319¥¼¤ÀÃþ¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó¡B303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó¡B313¦Û¦æ¨®¤Î¨ä¹s¥ó
³{¬K¹q°Ê¾÷¨®±M½æ©±,66009587,,»O¤¤¥«ªF°ÏªF«H¨½®¶¿³¸ô296«Ñ17§Ë17¸¹1¼Ó,»O¤¤¥«ªF°ÏªF«H¨½,¦ó´Â´Ü,39843991,¿W¸ê,,1101101,¥Í²£¤¤,31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,312¾÷¨®¤Î¨ä¹s¥ó
±d²»¹ê·~¦³­­¤½¥qÆ[­µ¼t,S6800339,,®ç¶é¥«Æ[­µ°Ï´I·½¨½7¾F´I·½¤@¸ô126¤§3¸¹,®ç¶é¥«Æ[­µ°Ï´I·½¨½,®}¬ü¯],70620777,¦³­­¤½¥q,,1090630,¥Í²£¤¤,24°ò¥»ª÷ÄÝ»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,241¿ûÅK¡B293³q¥Î¾÷±ñ³]³Æ
·ç²»¸t¥ø·~¦³­­¤½¥q·s«Î¼t,99688968,,®ç¶é¥«·s«Î°Ï¥Ã¿³¨½4¾F¥Ã¦¨¸ô265¸¹,®ç¶é¥«·s«Î°Ï¥Ã¿³¨½,§d¬ü®S,12803763,¦³­­¤½¥q,,950508,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¤j¨È¹q½u¹qÆlªÑ¥÷¦³­­¤½¥q¤jÆW¼t,99660010,6.21E+12,»O«n¥«¥Ã±d°Ï«nÆW¨½«n¿³¸ô15¸¹A°Ï,»O«n¥«¥Ã±d°Ï«nÆW¨½,¨H©|¥°¡@¡@¡@,68035907,ªÑ¥÷¦³­­¤½¥q,620828,630416,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,281µo¹q¡B¿é¹q¤Î°t¹q¾÷±ñ
ª÷¾_Â×­¹«~¦³­­¤½¥q,7004423,,¹ü¤Æ¿¤ºÖ¿³¶mºÖ¿³§øºÖ¿³¸ô61-25¸¹1¡B2¼Ó,¹ü¤Æ¿¤ºÖ¿³¶mºÖ¿³§ø,³\©|§»,83547771,¦³­­¤½¥q,,1100812,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
·ç¯qª÷ÄÝ¤uµ{¦³­­¤½¥q,65009113,,·s¥_¥«¤g«°°Ï¤j¦w¨½©Ó¤Ñ¸ô8«Ñ15¤§1¸¹,·s¥_¥«¤g«°°Ï¤j¦w¨½,¶À¸a²N,80435203,¦³­­¤½¥q,,1091230,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z¡B259¨ä¥Lª÷ÄÝ»s«~
¨|ª@¤­ª÷¦³­­¤½¥q,5000028,,­]®ß¿¤³q¾]Âí«n©M¨½3¾F«n©M34¸¹,­]®ß¿¤³q¾]Âí«n©M¨½,¨vÞ³¥­,53363368,¦³­­¤½¥q,,1000325,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,253ª÷ÄÝ®e¾¹
ªFºa¤uµ{¦³­­¤½¥q¤@¼t,9000780,1.071E+13,¶³ªL¿¤¥|´ò¶m±[¥_§ø·Ë±[µó19-6¸¹,¶³ªL¿¤¥|´ò¶m±[¥_§ø,ªL¨ó»õ,85106052,¦³­­¤½¥q,1070702,1070711,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
®Ã¤ì¨àªÑ¥÷¦³­­¤½¥q¤¤©M¼t,65009667,,·s¥_¥«¤¤©M°Ï¤¤­ì¨½¤¤¤s¸ô2¬q340«Ñ57¤§1 ¸¹(1¼Ó),·s¥_¥«¤¤©M°Ï¤¤­ì¨½,ªL¯q¼y,45016750,ªÑ¥÷¦³­­¤½¥q,,1100810,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
ª÷ªNµo¦³­­¤½¥q­b¸Ì¼t,5000555,,­]®ß¿¤­b¸ÌÂí­b´ä¨½2¾F­b´ä10¤§34¸¹,­]®ß¿¤­b¸ÌÂí­b´ä¨½,§õÂE»Ê,54399435,¦³­­¤½¥q,,1090219,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
